id,texte,categorie,mots_cles_detectes,confidence
1,"FACTURE N°2025-001\nDate: 15/01/2026\nClient: Entreprise ABC\nSIRET: 12345678900012\nMontant HT: 1500,00€\nTVA 20%: 300,00€\nMontant TTC: 1800,00€\nNet à payer: 1800,00€\nIBAN: FR76XXXXXXXXXXXXXXX\nBIC: XXXXXXXX\nDate d'échéance: 30/01/2026","FACTURE","facture,montant ht,tva,montant ttc,net à payer,iban,bic,date d'échéance,siret",0.95
2,"TICKET DE CAISSE\nMagasin: Supermarché XYZ\nDate: 16/01/2026 14:30\nArticles:\n- Lait 1L: 1,20€\n- Pain: 0,90€\n- Pommes 1kg: 2,50€\nTotal TTC: 4,60€\nMoyen de paiement: Carte bancaire\nMerci de votre visite !","RECU","ticket de caisse,total ttc,carte bancaire,merci de votre visite",0.92
3,"CONTRAT DE TRAVAIL\nEntre les soussignés:\n- Société DEF (SIRET: 98765432100045)\n- M. Jean Dupont\nIl a été convenu ce qui suit:\nArticle 1: Objet du contrat\nArticle 2: Durée et période d'essai\nFait à Paris le 10 janvier 2026\nSignatures des parties","CONTRAT","contrat,entre les soussignés,il a été convenu,article 1,signature,parties,fait à",0.98
4,"BON DE COMMANDE N°BC-2026-045\nDate: 17/01/2026\nRéférence client: CLT-789\nAdresse de livraison:\n15 rue des Lilas, 75001 Paris\nMode d'expédition: Livraison standard\nArticles commandés:\n- 2x Produit A\n- 1x Produit B\nNombre de colis: 1","BON_COMMANDE","bon de commande,référence client,adresse de livraison,mode d'expédition,colis",0.90
5,"ATTESTATION DE DOMICILE\nDélivrée par la Mairie de Paris\nDate: 18/01/2026\nJe soussigné, Maire de Paris, certifie que M. Pierre Martin réside bien au 20 rue de la République, 75002 Paris depuis le 01/06/2025.\nCette attestation est valable 3 mois.\nCachet de la mairie","ADMINISTRATIF","attestation,certificat,mairie,justificatif de domicile",0.88
6,"RAPPORT TRIMESTRIEL Q4 2025\nSommaire:\n1. Introduction\n2. Analyse technique des résultats\n3. Synthèse des performances\n4. Conclusion et perspectives\nIntroduction:\nCe rapport présente l'analyse détaillée des performances du quatrième trimestre...\nConclusion:\nLes résultats sont conformes aux attentes avec une croissance de 15%.","RAPPORT","rapport annuel,analyse technique,sommaire,introduction,synthèse,conclusion",0.93
7,"CURRICULUM VITAE\nJean Dupont\nEmail: jean.dupont@email.com\nTéléphone: 01 23 45 67 89\n\nPROFIL PROFESSIONNEL\nDéveloppeur full-stack avec 5 ans d'expérience\n\nFORMATIONS\n- Master Informatique, Université Paris-Saclay (2020)\n- Licence Mathématiques, Sorbonne Université (2018)\n\nEXPÉRIENCES PROFESSIONNELLES\n- Développeur senior, Tech Company (2022-2026)\n- Stage ingénieur, Startup Innovante (2020)\n\nCOMPÉTENCES\n- Langages: Python, JavaScript, Java\n- Langues: Français (natif), Anglais (courant)","CV_LETTRE","curriculum vitae,profil professionnel,expériences professionnelles,formation,compétences,langues,email,téléphone,stage,emploi,université,diplôme",0.97
8,"THÈSE DE DOCTORAT\nTitre: 'Impact du changement climatique sur la biodiversité marine'\nAuteur: Dr. Marie Laurent\nUniversité: Sorbonne Université\nFaculté des Sciences\nDate de soutenance: 12 décembre 2025\nRésumé:\nCette recherche académique présente une analyse approfondie des données collectées sur 10 ans...\nMots-clés: climat, biodiversité, océanographie, recherche scientifique","ACADEMIQUE","thèse,université,faculté,étudiant,académique,recherche,publication",0.94
9,"JUGEMENT DU TRIBUNAL DE COMMERCE\nAffaire N°TCL-2026-001\nParties:\n- Demanderesse: Société GHI\n- Défenderesse: SARL JKL\nDécision rendue par le tribunal le 19 janvier 2026\nVu le code civil articles 1101 et suivants\nVu l'ordonnance du 15 novembre 2025\nIl est statué comme suit:\nArticle 1: La société JKL est condamnée à payer la somme de 50 000€\nMe Martin, avocat de la partie demanderesse, a plaidé...\nHuissier: Étude Dubois","JURIDIQUE","jugement,tribunal,avocat,huissier,juridique,code civil,ordonnance,acte notarié",0.91
10,"DIAGRAMME D'ARCHITECTURE SYSTÈME\nModule: Backend API\nSchéma:\n[Client] → [API Gateway] → [Microservices] → [Base de données]\nWorkflow:\n1. L'utilisateur envoie une requête\n2. API Gateway route la requête\n3. Microservice traite la logique métier\n4. Données stockées en base\nInterfaces:\n- REST API pour frontend web\n- GraphQL pour mobile\nTechnologies:\n- Node.js backend\n- React frontend\n- PostgreSQL database","DIAGRAMME","architecture,schema,schéma,diagramme,workflow,backend,frontend,interface,base de données,database,utilisateur,api,technique,module",0.89
